SHEET_NAME,CROP_MASTER_DATA
Crop_ID,Crop_Name_English,Crop_Name_Telugu,Crop_Name_Hindi,Climate_Tropical,Climate_Subtropical,Climate_Temperate,Climate_Arid,Season_Kharif,Season_Rabi,Season_Zaid,Soil_Clay,Soil_Sandy,Soil_Loamy,Soil_Black,Soil_Red,Soil_Alluvial,pH_Minimum,pH_Maximum,Nitrogen_Min_Percent,Nitrogen_Max_Percent,Phosphorus_Min_Percent,Phosphorus_Max_Percent,Potassium_Min_Percent,Potassium_Max_Percent,Water_Requirement_Min_mm,Water_Requirement_Max_mm,Growth_Duration_Days,Irrigation_Method,Fertilizer_Primary,Fertilizer_Secondary,Market_Value,Export_Potential,Crop_Type,Special_Requirements
rice,Rice,వరి,चावल,1,1,0,0,1,0,0,1,0,1,0,0,1,5.5,7.0,80,120,40,60,40,60,1200,1500,120,Flood/Drip,Urea,SSP+MOP,High,Medium,Cereal,Standing_Water
wheat,Wheat,గోధుమ,गेहूं,0,1,1,0,0,1,0,0,0,1,0,0,1,6.0,7.5,100,150,50,80,40,60,400,600,120,Sprinkler/Furrow,NPK_12:32:16,Urea_Top_Dressing,High,High,Cereal,Cool_Weather
cotton,Cotton,పత్తి,कपास,1,1,0,0,1,0,0,0,0,1,1,0,1,6.0,8.0,100,150,50,75,50,75,700,1300,180,Drip,NPK_19:19:19,Zinc_Sulfate,Very_High,Very_High,Cash_Crop,Long_Duration
maize,Maize,మొక్కజొన్న,मक्का,1,1,1,0,1,1,0,0,1,1,0,0,1,5.5,7.5,120,150,60,80,40,60,500,800,100,Furrow/Sprinkler,DAP+MOP,Urea_Split,High,Medium,Cereal,Critical_Tasseling
sugarcane,Sugarcane,చెరకు,गन्ना,1,1,0,0,1,0,0,0,0,1,0,0,1,6.0,7.5,200,300,80,120,100,150,2000,2500,365,Drip/Furrow,FYM+Urea,SSP+MOP,Very_High,High,Cash_Crop,Heavy_Water
groundnut,Groundnut,వేరుశెనగ,मूंगफली,1,1,0,0,1,1,0,0,1,1,0,1,0,6.0,7.0,20,40,40,60,40,60,500,750,120,Drip,Gypsum,Phosphorus_Rich,High,Medium,Oilseed,Nitrogen_Fixing
tomato,Tomato,టమాటో,टमाटर,0,1,1,0,0,1,1,0,1,1,0,1,0,6.0,7.0,100,150,50,75,50,75,400,600,120,Drip,NPK_Balanced,Micronutrients,Very_High,Low,Vegetable,Regular_Irrigation
potato,Potato,బంగాళాదుంప,आलू,0,1,1,0,0,1,0,0,1,1,0,0,0,5.5,6.5,120,180,80,120,100,150,500,700,100,Sprinkler/Drip,FYM+NPK,Foliar_Spray,High,Low,Tuber,Cool_Weather

SHEET_NAME,SOIL_PARAMETERS_MATRIX
Soil_Type,Climate_Zone,pH_Typical,pH_Minimum,pH_Maximum,Nitrogen_Min_Percent,Nitrogen_Max_Percent,Phosphorus_Min_Percent,Phosphorus_Max_Percent,Potassium_Min_Percent,Potassium_Max_Percent,Nutrient_Status,Fertility_Level,Water_Holding_Capacity,Drainage_Characteristics,Suitable_Crops_Primary,Suitable_Crops_Secondary,Fertilizer_Recommendation,Organic_Matter_Requirement,Micronutrient_Needs,Management_Priority
wheat,Dough_Stage,డౌ_స్టేజ్,आटा_अवस्था,115,120,Sixth_irrigation_if_needed,ఆరవ_నీటిపారుదల_అవసరమైతే,छठी_सिंचाई_यदि_आवश्यक,4,5,No,Medium,Rabi,Furrow,Sprinkler,Normal,High,Medium,No,Yes,Optional_based_on_soil_moisture
cotton,Sowing_to_Germination,విత్తనం_నుండి_మొలకెత్తడం,बुवाई_से_अंकुरण,0,10,Light_every_2-3_days,ప్రతి_2-3_రోజులకు_తేలికపాటి,हर_2-3_दिन_हल्की,2,3,Yes,Very_High,Kharif,Drip,Sprinkler,Good,Low,High,Yes,No,Ensure_uniform_germination
cotton,Vegetative_Growth,వృక్షసంబంధ_పెరుగుదల,वानस्पतिक_वृद्धि,10,60,Every_7-10_days,ప్రతి_7-10_రోజులు,हर_7-10_दिन,4,5,No,Medium,Kharif,Drip,Furrow,Normal,High,Medium,No,Yes,Build_strong_plant_structure
cotton,Flowering,పుష్పించడం,फूल_आना,60,90,Every_5-7_days,ప్రతి_5-7_రోజులు,हर_5-7_दिन,5,6,Yes,Very_High,Kharif,Drip,Micro_Sprinkler,Good,Medium,High,Yes,No,Critical_for_boll_set
cotton,Boll_Formation,బోల్_ఏర్పాటు,गांठ_बनना,90,120,Every_7-10_days,ప్రతి_7-10_రోజులు,हर_7-10_दिन,5,6,Yes,High,Kharif,Drip,Furrow,Normal,Medium,High,Yes,No,Important_for_boll_development
cotton,Boll_Development,బోల్_అభివృద్ధి,गांठ_विकास,120,150,Every_10-12_days,ప్రతి_10-12_రోజులు,हर_10-12_दिन,4,5,Yes,High,Kharif,Drip,Subsurface,Normal,Medium,High,Yes,No,Critical_for_fiber_quality
cotton,Maturity,పరిపక్వత,परिपक्वता,150,180,Stop_15_days_before_harvest,కోత_15_రోజుల_ముందు_ఆపండి,कटाई_से_15_दिन_पहले_बंद,0,0,No,Low,Kharif,None,None,NA,High,Low,No,No,Improve_fiber_quality_and_picking

SHEET_NAME,NUTRIENT_CLASSIFICATION_STANDARDS
Parameter_Name,Value_Range_Min,Value_Range_Max,Classification_Level,Crop_Suitability_High,Crop_Suitability_Medium,Crop_Suitability_Low,Management_Action_Primary,Management_Action_Secondary,Fertilizer_Recommendation_Primary,Fertilizer_Recommendation_Secondary,Application_Method,Application_Timing,Deficiency_Symptoms,Excess_Symptoms,Soil_Test_Method,Laboratory_Standard,Field_Indicator,Correction_Timeline_Days,Cost_Effectiveness,Environmental_Impact
Soil_pH,3.5,5.5,Strongly_Acidic,"tea,blueberry","potato,groundnut","rice,wheat,cotton",Lime_Application_Heavy,Organic_Matter_Addition,Agricultural_Lime_2-4_tons/ha,Dolomite_1-2_tons/ha,Broadcast_and_Incorporate,Before_Sowing,Stunted_Growth_Yellow_Leaves,NA,pH_Meter_Soil_Water_1:2.5,ASTM_D4972,Litmus_Paper_Red,60-90,Medium,Low_Risk
Soil_pH,5.5,6.5,Slightly_Acidic,"rice,wheat,maize","potato,tomato,groundnut","cotton,sugarcane",Lime_Application_Light,Balanced_Fertilization,Agricultural_Lime_0.5-1_ton/ha,Wood_Ash_500kg/ha,Broadcast,Pre_Planting,Reduced_Nodulation_Legumes,NA,Digital_pH_Meter,ISO_10390,pH_Strips_Orange,30-60,High,Very_Low_Risk
Soil_pH,6.5,7.5,Neutral,"wheat,rice,maize,tomato,potato","cotton,sugarcane,groundnut",NA,Maintain_Current_Status,Monitor_Regularly,Balanced_NPK_Fertilizers,Organic_Compost,As_Per_Crop_Requirement,Season_Based,NA,NA,Electronic_pH_Meter,USDA_Standards,pH_Strips_Green,NA,Very_High,Minimal_Impact
Soil_pH,7.5,8.5,Slightly_Alkaline,"cotton,sugarcane","wheat,maize","rice,tomato,potato",Gypsum_Application,Sulfur_Addition,Gypsum_1-2_tons/ha,Elemental_Sulfur_200-500kg/ha,Broadcast_and_Irrigate,Pre_Monsoon,Iron_Chlorosis_Yellow_Leaves,NA,pH_Meter_Saturated_Paste,APHA_Standards,pH_Strips_Blue,45-75,Medium,Low_Risk
Nitrogen_Percentage,0,20,Low,"legumes_with_inoculation","cereals_with_heavy_fertilization","leafy_vegetables",Heavy_Nitrogen_Application,Organic_Matter_Addition,Urea_200-300kg/ha,FYM_10-15_tons/ha,Split_Application_3-4_times,Basal+Top_Dressing,Yellowing_Older_Leaves_Stunted_Growth,NA,Kjeldahl_Method,AOAC_Official_Method,Pale_Green_Color,15-30,High,Medium_Risk_Leaching
Nitrogen_Percentage,20,40,Medium,"cereals,vegetables","cash_crops","nitrogen_sensitive_crops",Moderate_Nitrogen_Application,Balanced_NPK,Urea_100-150kg/ha,Ammonium_Sulfate_150-200kg/ha,Split_Application_2-3_times,Critical_Growth_Stages,Slow_Growth_Light_Green,NA,Colorimetric_Method,ISI_Standards,Leaf_Color_Chart,10-20,Very_High,Low_Risk
Nitrogen_Percentage,40,60,High,"all_crops_maintenance","nitrogen_loving_crops","sensitive_crops",Maintenance_Application,Monitor_Other_Nutrients,Urea_50-100kg/ha,Organic_Fertilizers,Single_or_Split,As_Required,NA,Excessive_Vegetative_Growth,Rapid_Test_Kits,Laboratory_Calibrated,Visual_Assessment_Dark_Green,7-15,High,Very_Low_Risk
Nitrogen_Percentage,60,100,Very_High,"maintenance_only","monitor_carefully","avoid_additional_nitrogen",Reduce_Nitrogen_Input,Balance_with_PK,Phosphorus_Potassium_Only,Micronutrient_Mix,Targeted_Application,Avoid_Vegetative_Stage,NA,Delayed_Maturity_Lodging_Disease,Quick_Test_Strips,Certified_Laboratory,Excessive_Foliage_Dark_Green,Immediate,Medium,High_Risk_Environment

SHEET_NAME,AI_ALGORITHM_PARAMETERS
Feature_Name,Weight_Percentage,Importance_Ranking,Calculation_Method,Score_Range_Min,Score_Range_Max,Impact_Level,Validation_Method,Accuracy_Percentage,Confidence_Threshold_High,Confidence_Threshold_Medium,Confidence_Threshold_Low,Machine_Learning_Model,Training_Data_Size,Cross_Validation_Folds,Performance_Metric,Bias_Correction,Interpretability_Score,Real_World_Validation,Update_Frequency,Deployment_Status
Climate_Match,30,1,Binary_Exact_Match,0,100,Primary_Filter,Expert_Validation,98,90,70,50,Rule_Based_System,1000_Records,5_Fold,Precision_Recall,Geographic_Adjustment,Very_High,Field_Tested,Quarterly,Production
Season_Match,25,2,Binary_Exact_Match,0,100,Secondary_Filter,Agricultural_Calendar,95,85,65,45,Rule_Based_System,800_Records,5_Fold,Accuracy,Seasonal_Variation,Very_High,Extension_Validated,Bi_Annual,Production
Soil_Type_Match,25,3,Binary_Exact_Match,0,100,Tertiary_Filter,Soil_Survey_Data,92,80,60,40,Rule_Based_System,1200_Records,3_Fold,F1_Score,Regional_Calibration,High,Laboratory_Confirmed,Annual,Production
pH_Compatibility,10,4,Range_Based_Scoring,0,100,Scoring_Factor,Laboratory_Standards,88,75,55,35,Fuzzy_Logic,2000_Records,10_Fold,RMSE,pH_Meter_Calibration,Medium,Soil_Test_Validated,Quarterly,Production
Nitrogen_Level,3,5,Range_Based_Scoring,0,100,Fine_Tuning,Nutrient_Analysis,85,70,50,30,Linear_Regression,1500_Records,5_Fold,MAE,Soil_Test_Correlation,Medium,Field_Experiment,Bi_Annual,Production
Phosphorus_Level,3,6,Range_Based_Scoring,0,100,Fine_Tuning,Soil_Testing,83,68,48,28,Linear_Regression,1500_Records,5_Fold,MAE,Laboratory_Validation,Medium,Research_Station,Bi_Annual,Production
Potassium_Level,4,7,Range_Based_Scoring,0,100,Fine_Tuning,Fertilizer_Guidelines,80,65,45,25,Linear_Regression,1500_Records,5_Fold,MAE,Nutrient_Response,Medium,Farmer_Feedback,Bi_Annual,Production
